date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:43	2198/2198	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2001%20Sep%202023%2009:29:43%20GMT	https://www.free-css.com/robots.txt		(from )
14:59:43	19330/19330	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2009:29:43%20GMT	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/index.html	(from )
14:59:44	15989/15989	---M--	200	added ('OK')	text/css	etag:%223e75-5827b291e6780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	19606/19606	---M-Z	200	added ('OK')	application/javascript	etag:%22f6b33c51e637efde46d89be5413fab46%22	http://s3.buysellads.com/ac/bsa.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/s3.buysellads.com/ac/bsa.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	156974/156974	---M--	200	added ('OK')	text/css	etag:%222652e-5827af1afbb00%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	57785/57785	---M--	200	added ('OK')	image/jpeg	etag:%22e1b9-5827c2f9e1c80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/about-us-img.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/about-us-img.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	31487/31487	---M--	200	added ('OK')	image/jpeg	etag:%227aff-5827c2ff9aa00%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/dubai.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/dubai.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	52408/52408	---M--	200	added ('OK')	image/jpeg	etag:%22ccb8-5827c2b908380%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/thailand.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/thailand.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:47	28110/28110	---M--	200	added ('OK')	image/jpeg	etag:%226dce-5827c30924080%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/france.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/france.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:48	36435/36435	---M--	200	added ('OK')	image/jpeg	etag:%228e53-5827c2b167180%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/switzerland.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/switzerland.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
